Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-09-02 00:00:00-04:00,320.82000732421875,325.9200134277344,320.239990234375,325.5899963378906,21247500,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,327.760009765625,329.45001220703125,326.7300109863281,328.1400146484375,16062200,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,327.0299987792969,327.55999755859375,325.3500061035156,326.69000244140625,11703100,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,329.5299987792969,331.44000244140625,328.92999267578125,331.04998779296875,16065200,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,333.6600036621094,335.6700134277344,333.2300109863281,334.82000732421875,18617300,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,337.0299987792969,338.30999755859375,333.8500061035156,334.05999755859375,21641900,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,335.7300109863281,336.5,326.19000244140625,335.260009765625,11945700,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,333.3699951171875,335.1600036621094,332.9700012207031,334.760009765625,9082600,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,335.8800048828125,336.3900146484375,335.2300109863281,335.4200134277344,9619700,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,336.30999755859375,339.2799987792969,336.2300109863281,338.9100036621094,10569900,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,340.0899963378906,340.8800048828125,338.6199951171875,339.5899963378906,12161500,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,338.5299987792969,341.239990234375,335.5199890136719,336.9700012207031,16535300,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,336.2200012207031,336.32000732421875,333.80999755859375,335.6199951171875,14913300,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,336.510009765625,339.2300109863281,336.30999755859375,339.17999267578125,14982600,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,342.75,345.07000732421875,341.8399963378906,345.04998779296875,12386400,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,348.2300109863281,348.75,345.32000732421875,346.4599914550781,18384000,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,346.70001220703125,346.8299865722656,342.1400146484375,343.32000732421875,12709100,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,344.3900146484375,345.8299865722656,342.4700012207031,344.75,12639600,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,345.8299865722656,348.25,345.30999755859375,346.739990234375,11685700,0.0,0.0,0.0
